2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.41,0.31,0.33] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.38,0.30,0.33] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.35,0.30,0.32] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.51,0.34,0.34] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.47,0.33,0.33] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.43,0.32,0.33] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.67,0.38,0.35] 29941M 75.4% 927M 12.1% 49925 normal normal normal
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.70,0.39,0.35] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.64,0.38,0.35] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.61,0.39,0.35] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.57,0.38,0.35] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.52,0.37,0.35] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.59,0.39,0.36] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.70,0.42,0.37] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.72,0.43,0.37] 29941M 75.4% 927M 12.1% 49925 normal normal normal
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.69,0.43,0.37] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.63,0.43,0.37] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.58,0.42,0.37] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.65,0.44,0.37] 29941M 75.4% 927M 12.0% 51002 normal normal note
2018-12-20__20:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.59,0.43,0.37] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.79,0.47,0.39] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.80,0.48,0.39] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.91,0.52,0.40] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.84,0.51,0.40] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.77,0.50,0.40] 29941M 75.4% 927M 12.0% 51002 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.73,0.50,0.40] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.67,0.49,0.39] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.62,0.48,0.39] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.60,0.48,0.39] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.55,0.47,0.39] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.50,0.47,0.39] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.90,0.55,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.83,0.54,0.41] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.76,0.53,0.41] 29941M 75.4% 927M 12.0% 49388 normal normal normal
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.80,0.55,0.42] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.73,0.54,0.42] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.68,0.53,0.41] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.87,0.58,0.43] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.80,0.57,0.43] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.74,0.56,0.43] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.70,0.56,0.43] 29941M 75.4% 927M 12.1% 50464 normal normal note
