2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  832M  10.2%  7.4%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  834M  10.0%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:55  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  832M  10.2%  7.4%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 18:56  927M  832M  10.2%  7.4%
2018-12-20 18:56  927M  833M  10.1%  7.3%
2018-12-20 19:17  927M  832M  10.2%  7.4%
2018-12-20 19:17  927M  834M  10.0%  7.3%
2018-12-20 19:17  927M  833M  10.1%  7.3%
2018-12-20 19:17  927M  833M  10.1%  7.3%
2018-12-20 19:17  927M  833M  10.1%  7.3%
2018-12-20 19:17  927M  833M  10.1%  7.3%
2018-12-20 19:17  927M  833M  10.1%  7.3%
2018-12-20 19:18  927M  833M  10.1%  7.3%
2018-12-20 19:18  927M  833M  10.1%  7.3%
2018-12-20 20:21  927M  840M  9.3%  6.8%
2018-12-20 20:21  927M  839M  9.4%  6.8%
2018-12-20 20:21  927M  839M  9.4%  6.8%
2018-12-20 20:21  927M  840M  9.3%  6.8%
2018-12-20 20:21  927M  840M  9.3%  6.8%
2018-12-20 20:29  927M  813M  12.2%  8.8%
2018-12-20 20:29  927M  814M  12.1%  8.7%
2018-12-20 20:29  927M  814M  12.1%  8.7%
2018-12-20 20:30  927M  814M  12.1%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:30  927M  814M  12.1%  8.7%
2018-12-20 20:30  927M  813M  12.2%  8.8%
2018-12-20 20:30  927M  813M  12.2%  8.8%
2018-12-20 20:30  927M  814M  12.1%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:30  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  813M  12.2%  8.8%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  815M  12.0%  8.7%
2018-12-20 20:31  927M  814M  12.1%  8.7%
2018-12-20 20:31  927M  813M  12.2%  8.8%
2018-12-20 20:31  927M  813M  12.2%  8.8%
2018-12-20 20:32  927M  814M  12.1%  8.7%
2018-12-20 20:32  927M  814M  12.1%  8.7%
2018-12-20 20:32  927M  815M  12.0%  8.7%
2018-12-20 20:32  927M  815M  12.0%  8.7%
2018-12-20 20:32  927M  815M  12.0%  8.7%
2018-12-20 20:32  927M  814M  12.1%  8.7%
2018-12-20 20:32  927M  814M  12.1%  8.7%
2018-12-20 20:32  927M  814M  12.1%  8.7%
