2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.80,0.61,0.41] 29941M 52.3% 927M 16.1% 45622 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.75,0.61,0.41] 29941M 52.3% 927M 16.0% 45084 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.69,0.60,0.41] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.64,0.59,0.41] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [1.40,0.75,0.46] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [1.29,0.74,0.46] 29941M 52.3% 927M 16.2% 44546 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [1.18,0.72,0.46] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [1.08,0.72,0.46] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.99,0.71,0.45] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.91,0.69,0.45] 29941M 52.3% 927M 16.0% 45622 normal normal normal
